DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
30/4/2020;6;Santa Eulàlia Sud;24622;10277;ABS_06
30/4/2020;11;Gornal;9150;3925;ABS_11
31/5/2020;5;Santa Eulàlia Nord;20362;8683;ABS_05
31/5/2020;7;Florida Nord;22915;8160;ABS_07
31/5/2020;4;Torrassa;28004;10726;ABS_04
31/5/2020;10;Can Serra;10136;4205;ABS_10
31/5/2020;6;Santa Eulàlia Sud;24629;10277;ABS_06
31/5/2020;8;Florida Sud;24115;8664;ABS_08
31/5/2020;3;Collblanc;26629;10696;ABS_03
31/5/2020;1;Centre;29796;13262;ABS_01
31/5/2020;9;Pubilla Cases;30932;11590;ABS_09
31/5/2020;12;Bellvitge;24895;10083;ABS_12
31/5/2020;2;Sant Josep;23175;9665;ABS_02
31/5/2020;11;Gornal;9151;3925;ABS_11
30/6/2020;8;Florida Sud;24140;8664;ABS_08
30/6/2020;2;Sant Josep;23171;9665;ABS_02
30/6/2020;10;Can Serra;10101;4205;ABS_10
30/6/2020;11;Gornal;9129;3925;ABS_11
30/6/2020;3;Collblanc;26655;10697;ABS_03
30/6/2020;9;Pubilla Cases;30975;11590;ABS_09
30/6/2020;7;Florida Nord;22960;8160;ABS_07
30/6/2020;4;Torrassa;28040;10726;ABS_04
30/6/2020;5;Santa Eulàlia Nord;20379;8683;ABS_05
30/6/2020;12;Bellvitge;24856;10083;ABS_12
30/6/2020;1;Centre;29831;13252;ABS_01
30/6/2020;6;Santa Eulàlia Sud;24644;10277;ABS_06
31/7/2020;1;Centre;30011;13252;ABS_01
31/7/2020;5;Santa Eulàlia Nord;20473;8683;ABS_05
31/7/2020;6;Santa Eulàlia Sud;24742;10277;ABS_06
31/7/2020;7;Florida Nord;23135;8161;ABS_07
31/7/2020;10;Can Serra;10145;4205;ABS_10
31/7/2020;8;Florida Sud;24336;8664;ABS_08
31/7/2020;12;Bellvitge;24953;10083;ABS_12
31/7/2020;2;Sant Josep;23259;9665;ABS_02
31/7/2020;4;Torrassa;28338;10726;ABS_04
31/7/2020;9;Pubilla Cases;31165;11590;ABS_09
31/7/2020;11;Gornal;9195;3925;ABS_11
31/7/2020;3;Collblanc;26928;10697;ABS_03
31/8/2020;10;Can Serra;10085;4205;ABS_10
31/8/2020;9;Pubilla Cases;30873;11590;ABS_09
31/8/2020;11;Gornal;9128;3925;ABS_11
31/8/2020;1;Centre;29795;13252;ABS_01
31/8/2020;6;Santa Eulàlia Sud;24510;10277;ABS_06
31/8/2020;3;Collblanc;26689;10697;ABS_03
31/8/2020;5;Santa Eulàlia Nord;20349;8683;ABS_05
31/8/2020;2;Sant Josep;23033;9665;ABS_02
31/8/2020;12;Bellvitge;24787;10083;ABS_12
31/8/2020;4;Torrassa;28139;10726;ABS_04
31/8/2020;7;Florida Nord;22968;8161;ABS_07
31/8/2020;8;Florida Sud;24140;8664;ABS_08
30/9/2020;12;Bellvitge;24762;10083;ABS_12
30/9/2020;5;Santa Eulàlia Nord;20351;8683;ABS_05
30/9/2020;7;Florida Nord;23051;8161;ABS_07
30/9/2020;10;Can Serra;10072;4205;ABS_10
30/9/2020;2;Sant Josep;23036;9665;ABS_02
30/9/2020;9;Pubilla Cases;30940;11591;ABS_09
30/9/2020;3;Collblanc;26770;10697;ABS_03
30/9/2020;8;Florida Sud;24237;8664;ABS_08
30/9/2020;6;Santa Eulàlia Sud;24518;10288;ABS_06
30/9/2020;1;Centre;29848;13252;ABS_01
30/9/2020;11;Gornal;9154;3925;ABS_11
30/9/2020;4;Torrassa;28200;10726;ABS_04
31/10/2020;8;Florida Sud;24219;8664;ABS_08
31/10/2020;7;Florida Nord;23089;8161;ABS_07
31/10/2020;3;Collblanc;26745;10697;ABS_03
31/10/2020;4;Torrassa;28120;10728;ABS_04
31/10/2020;12;Bellvitge;24739;10083;ABS_12
31/10/2020;5;Santa Eulàlia Nord;20352;8677;ABS_05
31/10/2020;11;Gornal;9161;3987;ABS_11
31/10/2020;6;Santa Eulàlia Sud;24480;10396;ABS_06
31/10/2020;2;Sant Josep;23035;9730;ABS_02
31/10/2020;1;Centre;29879;13308;ABS_01
31/10/2020;9;Pubilla Cases;30957;11591;ABS_09
31/10/2020;10;Can Serra;10043;4211;ABS_10
30/11/2020;12;Bellvitge;24699;10083;ABS_12
30/11/2020;7;Florida Nord;22984;8161;ABS_07
30/11/2020;11;Gornal;9142;3987;ABS_11
30/11/2020;1;Centre;29896;13303;ABS_01
30/11/2020;4;Torrassa;28103;10730;ABS_04
30/11/2020;2;Sant Josep;22972;9730;ABS_02
30/11/2020;6;Santa Eulàlia Sud;24442;10396;ABS_06
30/11/2020;8;Florida Sud;24178;8664;ABS_08
30/11/2020;9;Pubilla Cases;30959;11591;ABS_09
30/11/2020;3;Collblanc;26694;10697;ABS_03
30/11/2020;10;Can Serra;10034;4211;ABS_10
30/11/2020;5;Santa Eulàlia Nord;20351;8677;ABS_05
31/12/2020;2;Sant Josep;22993;9981;ABS_02
31/12/2020;8;Florida Sud;24169;8664;ABS_08
31/12/2020;3;Collblanc;26638;10697;ABS_03
31/12/2020;1;Centre;29893;13343;ABS_01
31/12/2020;5;Santa Eulàlia Nord;20333;8677;ABS_05
31/12/2020;6;Santa Eulàlia Sud;24449;10396;ABS_06
31/12/2020;9;Pubilla Cases;30906;11591;ABS_09
31/12/2020;11;Gornal;9175;3985;ABS_11
31/12/2020;7;Florida Nord;23006;8161;ABS_07
31/12/2020;4;Torrassa;28038;10730;ABS_04
31/12/2020;10;Can Serra;10042;4211;ABS_10
31/12/2020;12;Bellvitge;24678;10083;ABS_12
